Date,storage_level_idx
2009-07-31,
2009-08-07,
2009-08-14,
2009-08-21,
2009-08-28,
2009-09-04,
2009-09-11,
2009-09-18,
2009-09-25,
2009-10-02,
2009-10-09,
2009-10-16,
2009-10-23,
2009-10-30,
2009-11-06,
2009-11-13,
2009-11-20,
2009-11-27,
2009-12-04,
2009-12-11,
2009-12-18,
2009-12-25,
2010-01-01,
2010-01-08,100.0
2010-01-15,100.0
2010-01-22,100.0
2010-01-29,100.0
2010-02-05,100.0
2010-02-12,100.0
2010-02-19,100.0
2010-02-26,100.0
2010-03-05,100.0
2010-03-12,100.0
2010-03-19,100.0
2010-03-26,100.0
2010-04-02,100.0
2010-04-09,100.0
2010-04-16,100.0
2010-04-23,100.0
2010-04-30,100.0
2010-05-07,100.0
2010-05-14,100.0
2010-05-21,100.0
2010-05-28,100.0
2010-06-04,100.0
2010-06-11,100.0
2010-06-18,100.0
2010-06-25,100.0
2010-07-02,100.0
2010-07-09,100.0
2010-07-16,100.0
2010-07-23,100.0
2010-07-30,100.0
2010-08-06,100.0
2010-08-13,100.0
2010-08-20,100.0
2010-08-27,100.0
2010-09-03,100.0
2010-09-10,100.0
2010-09-17,100.0
2010-09-24,100.0
2010-10-01,100.0
2010-10-08,100.0
2010-10-15,100.0
2010-10-22,100.0
2010-10-29,100.0
2010-11-05,100.0
2010-11-12,100.0
2010-11-19,100.0
2010-11-26,100.0
2010-12-03,100.0
2010-12-10,100.0
2010-12-17,100.0
2010-12-24,100.0
2010-12-31,100.0
2011-01-07,100.0
2011-01-14,100.0
2011-01-21,100.0
2011-01-28,100.0
2011-02-04,100.0
2011-02-11,100.0
2011-02-18,100.0
2011-02-25,100.0
2011-03-04,100.0
2011-03-11,100.0
2011-03-18,100.0
2011-03-25,100.0
2011-04-01,100.0
2011-04-08,100.0
2011-04-15,100.0
2011-04-22,100.0
2011-04-29,100.0
2011-05-06,100.0
2011-05-13,100.0
2011-05-20,100.0
2011-05-27,100.0
2011-06-03,100.0
2011-06-10,100.0
2011-06-17,100.0
2011-06-24,100.0
2011-07-01,100.0
2011-07-08,100.0
2011-07-15,100.0
2011-07-22,100.0
2011-07-29,100.0
2011-08-05,100.0
2011-08-12,100.0
2011-08-19,100.0
2011-08-26,100.0
2011-09-02,100.0
2011-09-09,100.0
2011-09-16,100.0
2011-09-23,100.0
2011-09-30,100.0
2011-10-07,100.0
2011-10-14,100.0
2011-10-21,100.0
2011-10-28,100.0
2011-11-04,100.0
2011-11-11,100.0
2011-11-18,100.0
2011-11-25,100.0
2011-12-02,100.0
2011-12-09,100.0
2011-12-16,100.0
2011-12-23,100.0
2011-12-30,100.0
2012-01-06,100.0
2012-01-13,100.0
2012-01-20,100.0
2012-01-27,100.0
2012-02-03,100.0
2012-02-10,100.0
2012-02-17,100.0
2012-02-24,100.0
2012-03-02,100.0
2012-03-09,100.0
2012-03-16,100.0
2012-03-23,100.0
2012-03-30,100.0
2012-04-06,100.0
2012-04-13,100.0
2012-04-20,100.0
2012-04-27,100.0
2012-05-04,100.0
2012-05-11,100.0
2012-05-18,100.0
2012-05-25,100.0
2012-06-01,100.0
2012-06-08,100.0
2012-06-15,100.0
2012-06-22,100.0
2012-06-29,100.0
2012-07-06,100.0
2012-07-13,100.0
2012-07-20,100.0
2012-07-27,100.0
2012-08-03,100.0
2012-08-10,100.0
2012-08-17,100.0
2012-08-24,100.0
2012-08-31,100.0
2012-09-07,100.0
2012-09-14,100.0
2012-09-21,100.0
2012-09-28,100.0
2012-10-05,100.0
2012-10-12,100.0
2012-10-19,100.0
2012-10-26,100.0
2012-11-02,100.0
2012-11-09,100.0
2012-11-16,100.0
2012-11-23,100.0
2012-11-30,100.0
2012-12-07,100.0
2012-12-14,100.0
2012-12-21,100.0
2012-12-28,100.0
2013-01-04,100.0
2013-01-11,100.0
2013-01-18,100.93901977366156
2013-01-25,101.83243141766118
2013-02-01,102.55585851121674
2013-02-08,103.32181528487042
2013-02-15,104.05660636697934
2013-02-22,104.82969515329893
2013-03-01,105.44573009652736
2013-03-08,105.87271913746699
2013-03-15,106.02434275979842
2013-03-22,106.01793382001405
2013-03-29,105.72622536855562
2013-04-05,105.13386366888471
2013-04-12,104.41875481204681
2013-04-19,103.63779251204161
2013-04-26,102.7617893899651
2013-05-03,101.8014794063396
2013-05-10,100.86068133142945
2013-05-17,99.94386191665926
2013-05-24,99.0124904607876
2013-05-31,98.06386219341358
2013-06-07,97.20149345331664
2013-06-14,96.37206274056906
2013-06-21,95.5850993502632
2013-06-28,94.83646324207533
2013-07-05,94.06145930363294
2013-07-12,93.30310447621329
2013-07-19,92.53159552868405
2013-07-26,91.74090041138936
2013-08-02,91.07537023940277
2013-08-09,90.72934336178555
2013-08-16,90.53240486623734
2013-08-23,90.37727259651662
2013-08-30,90.3002819271551
2013-09-06,90.20806171394811
2013-09-13,90.09123466013372
2013-09-20,89.72462496507349
2013-09-27,89.35634914485973
2013-10-04,89.06989972339312
2013-10-11,88.78033034815908
2013-10-18,88.38038484402948
2013-10-25,88.03925118292928
2013-11-01,87.29418892605983
2013-11-08,86.37831038323131
2013-11-15,85.62063592849853
2013-11-22,83.42721282692679
2013-11-29,82.30766063620935
2013-12-06,80.55441963534359
2013-12-13,79.46784045796323
2013-12-20,77.5332317423586
2013-12-27,75.46680776421262
2014-01-03,75.46680776421262
2014-01-10,74.67151174229537
2014-01-17,73.22639605471599
2014-01-24,72.00407979195226
2014-01-31,70.52810856328941
2014-02-07,68.89842404674975
2014-02-14,67.143200699859
2014-02-21,65.06997251456937
2014-02-28,62.994400603105234
2014-03-07,60.66944527583158
2014-03-14,57.83810347825998
2014-03-21,54.929576480174546
2014-03-28,52.032809036706375
2014-04-04,49.03375348254136
2014-04-11,46.03375348254136
2014-04-18,43.03375348254136
2014-04-25,40.03375348254136
2014-05-02,37.03375348254136
2014-05-09,34.03375348254136
2014-05-16,31.033753482541357
2014-05-23,28.033753482541357
2014-05-30,25.033753482541357
2014-06-06,22.033753482541357
2014-06-13,19.033753482541357
2014-06-20,16.033753482541357
2014-06-27,13.033753482541357
2014-07-04,10.033753482541357
2014-07-11,7.033753482541357
2014-07-18,4.033753482541357
2014-07-25,1.033753482541357
2014-08-01,-1.966246517458643
2014-08-08,-4.966246517458643
2014-08-15,-7.966246517458643
2014-08-22,-10.966246517458643
2014-08-29,-13.966246517458643
2014-09-05,-16.966246517458643
2014-09-12,-19.966246517458643
2014-09-19,-22.966246517458643
2014-09-26,-25.966246517458643
2014-10-03,-28.966246517458643
2014-10-10,-31.966246517458643
2014-10-17,-34.96624651745864
2014-10-24,-37.96624651745864
2014-10-31,-40.96624651745864
2014-11-07,-43.96624651745864
2014-11-14,-46.96624651745864
2014-11-21,-49.96624651745864
2014-11-28,-52.96624651745864
2014-12-05,-55.954225999237536
2014-12-12,-57.522218992074954
2014-12-19,-58.48739240671091
2014-12-26,-59.03737565290936
2015-01-02,-59.36789934538845
2015-01-09,-58.93658209546621
2015-01-16,-59.023018955687235
2015-01-23,-59.24160496072233
2015-01-30,-59.24238648707683
2015-02-06,-59.07869386823202
2015-02-13,-58.89832991987106
2015-02-20,-58.621139023057964
2015-02-27,-58.56418847732837
2015-03-06,-58.791936062608755
2015-03-13,-59.28853769402431
2015-03-20,-59.764366240862586
2015-03-27,-60.15175478579076
2015-04-03,-60.544900609502946
2015-04-10,-60.92202189467105
2015-04-17,-61.24706313751966
2015-04-24,-61.499074534940775
2015-05-01,-61.71080648217185
2015-05-08,-61.92624474766967
2015-05-15,-62.0907464419231
2015-05-22,-62.25594578152919
2015-05-29,-62.38541900330293
2015-06-05,-62.42566343339993
2015-06-12,-62.418398470285354
2015-06-19,-62.4005141125335
2015-06-26,-62.40330008314885
2015-07-03,-62.416339584962515
2015-07-10,-62.38550776217443
2015-07-17,-62.24329773019676
2015-07-24,-62.0686112493803
2015-07-31,-61.88266585580118
2015-08-07,-61.72776262490828
2015-08-14,-61.522938868673776
2015-08-21,-61.33143616240136
2015-08-28,-61.10437859443138
2015-09-04,-60.734793383127595
2015-09-11,-60.32874717043185
2015-09-18,-59.928831019246076
2015-09-25,-59.42495827867384
2015-10-02,-58.88472411251561
2015-10-09,-58.27867971218623
2015-10-16,-57.57734856025834
2015-10-23,-56.800700419524276
2015-10-30,-55.934806521414316
2015-11-06,-54.7823500697117
2015-11-13,-53.04177844351281
2015-11-20,-51.31468905753485
2015-11-27,-49.47930732797869
2015-12-04,-47.80350392213347
2015-12-11,-46.200560208860765
2015-12-18,-44.427512667001025
2015-12-25,-42.335461420250056
2016-01-01,-40.146701581312186
2016-01-08,-40.146701581312186
2016-01-15,-38.26359225717201
2016-01-22,-36.82775619919798
2016-01-29,-35.53544101216556
2016-02-05,-34.284992034126844
2016-02-12,-32.89071123583287
2016-02-19,-31.60888971599192
2016-02-26,-30.254547117821204
2016-03-04,-28.69285945817046
2016-03-11,-27.000022184507017
2016-03-18,-25.13738907356752
2016-03-25,-23.20302598203071
2016-04-01,-21.374677601511408
2016-04-08,-19.578362459487025
2016-04-15,-17.85751248736129
2016-04-22,-16.208658300745327
2016-04-29,-14.507398606641715
2016-05-06,-12.770158564590915
2016-05-13,-11.033510954098361
2016-05-20,-9.29043015031219
2016-05-27,-7.553238186174596
2016-06-03,-5.803631499702888
2016-06-10,-4.069186068991314
2016-06-17,-2.33207782182663
2016-06-24,-0.5905606084701134
2016-07-01,1.1105035262727228
2016-07-08,2.783208153422038
2016-07-15,4.521483748242645
2016-07-22,6.281348541930001
2016-07-29,8.041088650340157
2016-08-05,9.716069533245545
2016-08-12,11.414949372693883
2016-08-19,13.083189612653015
2016-08-26,14.622319795306751
2016-09-02,16.173536758277166
2016-09-09,17.64390657922094
2016-09-16,19.149542831681813
2016-09-23,20.57111178640693
2016-09-30,21.830242008454235
2016-10-07,23.06116258538664
2016-10-14,24.285348151602122
2016-10-21,25.51490853668561
2016-10-28,26.793718723269137
2016-11-04,28.148199083501638
2016-11-11,29.76547620080025
2016-11-18,31.62379928920113
2016-11-25,33.23592450460826
2016-12-02,34.54718407653972
2016-12-09,35.802856760259644
2016-12-16,36.64488745393393
2016-12-23,36.92323171358408
2016-12-30,36.66309324479303
2017-01-06,36.39460589344889
2017-01-13,36.85658092228603
2017-01-20,36.796741508876885
2017-01-27,36.91842853104871
2017-02-03,37.2518531507987
2017-02-10,37.580236431552706
2017-02-17,37.99056224917005
2017-02-24,38.53214026570186
2017-03-03,39.372534258984
2017-03-10,40.26602484634325
2017-03-17,41.17039435406965
2017-03-24,41.81540940825568
2017-03-31,42.38348319349957
2017-04-07,42.9510394164216
2017-04-14,43.50721121870031
2017-04-21,44.09557658651144
2017-04-28,44.72647507816148
2017-05-05,45.36959336680021
2017-05-12,45.96868417121638
2017-05-19,46.55023422519819
2017-05-26,47.11450805145071
2017-06-02,47.66958549270142
2017-06-09,48.274143368611064
2017-06-16,48.876308411626006
2017-06-23,49.4550101030076
2017-06-30,49.98811271650269
2017-07-07,50.51889383721487
2017-07-14,51.04767431787552
2017-07-21,51.51408748580301
2017-07-28,51.91704085029976
2017-08-04,52.265859885910544
2017-08-11,52.585046624854485
2017-08-18,52.93990531195686
2017-08-25,53.270272721016845
2017-09-01,53.50182598331323
2017-09-08,53.744679533216924
2017-09-15,54.10690891922386
2017-09-22,54.585620626095846
2017-09-29,54.9585114957287
2017-10-06,55.099555697721605
2017-10-13,55.232581118463315
2017-10-20,55.16731436709205
2017-10-27,55.02814089203129
2017-11-03,54.886858522419544
2017-11-10,54.53214500647054
2017-11-17,53.89644508496346
2017-11-24,53.09404130680216
2017-12-01,52.41292388493685
2017-12-08,52.13646302272854
2017-12-15,52.02106098828971
2017-12-22,51.62107806020971
2017-12-29,51.23560927611406
2018-01-05,50.235820062585276
2018-01-12,49.301698465497715
2018-01-19,48.10694788481313
2018-01-26,46.518956269374925
2018-02-02,45.1742569456688
2018-02-09,44.0843248596312
2018-02-16,42.98308175350955
2018-02-23,41.95561648150078
2018-03-02,41.07284330165795
2018-03-09,40.34815236041577
2018-03-16,39.625024205831444
2018-03-23,38.84559369149641
2018-03-30,38.0078596764675
2018-04-06,37.14481319836892
2018-04-13,36.23137019393221
2018-04-20,35.1711098775223
2018-04-27,33.96147482677432
2018-05-04,32.734769393610605
2018-05-11,31.51418326201373
2018-05-18,30.318250941644365
2018-05-25,29.097731060308632
2018-06-01,27.85263930537438
2018-06-08,26.57232980365643
2018-06-15,25.262695635427846
2018-06-22,23.937139165577733
2018-06-29,22.526147442231533
2018-07-06,21.067484837695872
2018-07-13,19.483571764016503
2018-07-20,17.76169503146123
2018-07-27,15.836850593698685
2018-08-03,13.749641679840138
2018-08-10,11.536505899927874
2018-08-17,9.12180016210722
2018-08-24,6.5616336642082445
2018-08-31,3.9241801059604313
2018-09-07,1.1777047932191635
2018-09-14,-1.7008692020915106
2018-09-21,-4.675861582927951
2018-09-28,-7.675861582927951
2018-10-05,-10.67586158292795
2018-10-12,-13.67586158292795
2018-10-19,-16.67586158292795
2018-10-26,-19.67586158292795
2018-11-02,-22.67586158292795
2018-11-09,-25.67586158292795
2018-11-16,-28.67586158292795
2018-11-23,-31.67586158292795
2018-11-30,-34.67586158292795
2018-12-07,-37.67586158292795
2018-12-14,-40.67586158292795
2018-12-21,-43.67586158292795
2018-12-28,-46.5342292993011
2019-01-04,-49.225207678383015
2019-01-11,-50.532257675519276
2019-01-18,-51.69278913305399
2019-01-25,-52.8177338949632
2019-02-01,-53.964281927339044
2019-02-08,-55.24180130261908
2019-02-15,-56.22841120001402
2019-02-22,-57.29068827321879
2019-03-01,-58.44367155371691
2019-03-08,-59.649958829702484
2019-03-15,-61.07735150494142
2019-03-22,-62.44275565405795
2019-03-29,-63.781381907342166
2019-04-05,-65.01767712135202
2019-04-12,-66.19598412804086
2019-04-19,-67.24270004193085
2019-04-26,-68.1994797380581
2019-05-03,-69.0406969810137
2019-05-10,-69.87822158951047
2019-05-17,-70.68673648152054
2019-05-24,-71.49256778330562
2019-05-31,-72.27058265997755
2019-06-07,-73.00840944851055
2019-06-14,-73.7406363193318
2019-06-21,-74.41717407538431
2019-06-28,-75.06469144821034
2019-07-05,-75.68757472766012
2019-07-12,-76.29535971176523
2019-07-19,-76.90935731248379
2019-07-26,-77.57810727908998
2019-08-02,-78.20207410086422
2019-08-09,-78.81423053932397
2019-08-16,-79.44413797281905
2019-08-23,-80.07009487608036
2019-08-30,-80.70527617519033
2019-09-06,-81.28649375161908
2019-09-13,-81.85373148095246
2019-09-20,-82.40050404350254
2019-09-27,-82.8746492931837
2019-10-04,-83.2546507802279
2019-10-11,-83.59977974074349
2019-10-18,-83.86643993129152
2019-10-25,-84.07993152389645
2019-11-01,-84.18324673642044
2019-11-08,-84.32061473117193
2019-11-15,-84.4864513780052
2019-11-22,-84.93800589891651
2019-11-29,-85.30827677349487
2019-12-06,-85.5257474006576
2019-12-13,-85.66129836295121
2019-12-20,-85.78155221154188
2019-12-27,-86.05952120269217
2020-01-03,-86.4042758993846
2020-01-10,-85.72701625811624
2020-01-17,-85.15587157036359
2020-01-24,-84.3307211076484
2020-01-31,-83.6692509567101
2020-02-07,-83.0048454916354
2020-02-14,-82.28429232054424
2020-02-21,-81.61915901235324
2020-02-28,-81.03777317631298
2020-03-06,-80.50004573392982
2020-03-13,-79.90651672721492
2020-03-20,-79.24038285219387
2020-03-27,-78.59785024697595
2020-04-03,-77.99009872532713
2020-04-10,-77.33865066940538
2020-04-17,-76.61589194837302
2020-04-24,-75.91376377723094
2020-05-01,-75.1955622468297
2020-05-08,-74.39475390689302
2020-05-15,-73.53487450041948
2020-05-22,-72.67515050338778
2020-05-29,-71.76208595760258
2020-06-05,-70.80318263880909
2020-06-12,-69.8064512510903
2020-06-19,-68.76351931050158
2020-06-26,-67.56398257058348
2020-07-03,-66.33594440711084
2020-07-10,-65.08688776486227
2020-07-17,-63.815736913644855
2020-07-24,-62.50564519844474
2020-07-31,-61.18633668989247
2020-08-07,-59.84912405409398
2020-08-14,-58.43010073720333
2020-08-21,-57.00331894249797
2020-08-28,-55.57830382435512
2020-09-04,-54.231606034014646
2020-09-11,-52.851861066527135
2020-09-18,-51.40158469622398
2020-09-25,-49.9891743369744
2020-10-02,-48.603198214124774
2020-10-09,-47.23094150000182
2020-10-16,-45.99221952777299
2020-10-23,-44.846974811828744
2020-10-30,-43.812043940566326
2020-11-06,-43.08333610589446
2020-11-13,-42.372397372396165
2020-11-20,-41.51919596852363
2020-11-27,-40.63947954802498
2020-12-04,-39.58267290530091
2020-12-11,-38.56935482142654
2020-12-18,-37.62320604446049
2020-12-25,-36.80550719500761
2021-01-01,-36.213106344027636
2021-01-08,-35.9693656973767
2021-01-15,-35.14789780437735
2021-01-22,-34.711602301993594
2021-01-29,-34.14900643036694
2021-02-05,-33.71880219118543
2021-02-12,-33.36280681368538
2021-02-19,-33.25763207202294
2021-02-26,-33.67643176929599
2021-03-05,-34.02294941867464
2021-03-12,-34.221608379895
2021-03-19,-34.25212077335223
2021-03-26,-34.23671879023172
2021-04-02,-34.13924345316531
2021-04-09,-33.9870592224502
2021-04-16,-33.742118318308115
2021-04-23,-33.49620047786473
2021-04-30,-33.330835089633865
2021-05-07,-33.17696338370558
2021-05-14,-33.03587648538769
2021-05-21,-32.92153653969385
2021-05-28,-32.75442295034179
2021-06-04,-32.57584468812243
2021-06-11,-32.38369178838656
2021-06-18,-32.361393684378754
2021-06-25,-32.40777861577061
2021-07-02,-32.46131929594307
2021-07-09,-32.66306917795541
2021-07-16,-32.90198532712108
2021-07-23,-33.16603433168635
2021-07-30,-33.46687245865937
2021-08-06,-33.864548435260076
2021-08-13,-34.26132092789129
2021-08-20,-34.677067587078454
2021-08-27,-35.181563277214565
2021-09-03,-35.82918220509575
2021-09-10,-36.53663914552254
2021-09-17,-37.216452836701706
2021-09-24,-37.910422907392785
2021-10-01,-38.593236191383966
2021-10-08,-39.167226016231126
2021-10-15,-39.78246990623535
2021-10-22,-40.37316456806187
2021-10-29,-40.91649050083396
2021-11-05,-41.45978713032508
2021-11-12,-42.17017257035104
2021-11-19,-42.77877098185783
2021-11-26,-43.35559373295209
2021-12-03,-43.96625165654612
2021-12-10,-44.565901549998046
2021-12-17,-45.128012742434436
2021-12-24,-45.483592007214895
2021-12-31,-45.92009265657407
2022-01-07,-46.33014189105819
2022-01-14,-46.17042856429964
2022-01-21,-46.4223799052462
2022-01-28,-46.84257458435201
2022-02-04,-47.591911861637556
2022-02-11,-48.4779416869186
2022-02-18,-49.383458884473896
2022-02-25,-50.227919642092075
2022-03-04,-51.08615221187151
2022-03-11,-51.94899395052187
2022-03-18,-52.77598640440098
2022-03-25,-53.572614907991266
2022-04-01,-54.240236443196665
2022-04-08,-54.95440748560824
2022-04-15,-55.661392745454606
2022-04-22,-56.33129469478135
2022-04-29,-57.03182470504234
2022-05-06,-57.712530653893054
2022-05-13,-58.411412306610345
2022-05-20,-59.115665941160046
2022-05-27,-59.846485687055065
2022-06-03,-60.62351330491376
2022-06-10,-61.39787210535795
2022-06-17,-62.18892849305303
2022-06-24,-63.02219610388076
2022-07-01,-63.87079711525405
2022-07-08,-64.77579577414926
2022-07-15,-65.73112215906451
2022-07-22,-66.78734331425434
2022-07-29,-67.97794462872193
2022-08-05,-69.2132723745282
2022-08-12,-70.4906242397663
2022-08-19,-71.9069083414384
2022-08-26,-73.3235365087034
2022-09-02,-74.75804867211511
2022-09-09,-76.25638736214339
2022-09-16,-77.76529312398537
2022-09-23,-79.20192845718486
2022-09-30,-80.58633892374888
2022-10-07,-81.83370962214275
2022-10-14,-82.97412445359109
2022-10-21,-84.02582089643681
2022-10-28,-85.19579156629658
2022-11-04,-86.19324116812453
2022-11-11,-87.04143755090513
2022-11-18,-87.60720133687917
2022-11-25,-88.3942095263225
2022-12-02,-89.28293926656596
2022-12-09,-90.00367190827427
2022-12-16,-90.5558808350589
2022-12-23,-91.01297543173001
2022-12-30,-91.84011327814554
2023-01-06,-93.36806066147952
2023-01-13,-93.60728701442525
2023-01-20,-93.81054856249196
2023-01-27,-93.72207128113794
2023-02-03,-93.5982627117873
2023-02-10,-93.63854474560486
2023-02-17,-93.50654902982208
2023-02-24,-93.17773729687147
2023-03-03,-92.74284010513077
2023-03-10,-92.28660388697358
2023-03-17,-91.80128353237095
2023-03-24,-91.38868992434547
2023-03-31,-91.03994513228932
2023-04-07,-90.7398158785852
2023-04-14,-90.42419268360862
2023-04-21,-90.02862213446451
2023-04-28,-89.57846561162566
2023-05-05,-89.14822417625945
2023-05-12,-88.709169018376
2023-05-19,-88.23028533709964
2023-05-26,-87.73148904412093
2023-06-02,-87.18733954319785
2023-06-09,-86.60071415529518
2023-06-16,-86.00656676652909
2023-06-23,-85.35882178077492
2023-06-30,-84.68656010444039
2023-07-07,-83.97863241116244
2023-07-14,-83.28558663436758
2023-07-21,-82.60374501990657
2023-07-28,-81.97533333375486
2023-08-04,-81.40506081053641
2023-08-11,-80.86173841385664
2023-08-18,-80.34369847832505
2023-08-25,-79.92397893560096
2023-09-01,-79.57189439186217
2023-09-08,-79.3187986338622
2023-09-15,-79.11077502776021
2023-09-22,-78.95198218668861
2023-09-29,-78.7707598929729
2023-10-06,-78.59814497665676
2023-10-13,-78.44078097452169
2023-10-20,-78.22108350947101
2023-10-27,-77.99487017902274
2023-11-03,-77.66801643377329
2023-11-10,-77.54155306996415
2023-11-17,-77.17410003274242
2023-11-24,-76.791647286162
2023-12-01,-76.24277028999435
2023-12-08,-75.94241350444128
2023-12-15,-75.5419405663774
2023-12-22,-75.06988387419239
2023-12-29,-74.50111031955817
2024-01-05,-73.78377381849558
2024-01-12,-72.34961694963931
2024-01-19,-71.27908334047285
2024-01-26,-70.76765605971684
2024-02-02,-70.39675566562562
2024-02-09,-69.77978793930271
2024-02-16,-68.9012217662455
2024-02-23,-67.81836978082774
2024-03-01,-66.69968387279462
2024-03-08,-65.49093399647415
2024-03-15,-64.16487728535654
2024-03-22,-62.75505678292552
2024-03-29,-61.40398022282241
2024-04-05,-60.151458404362444
2024-04-12,-58.90056669923615
2024-04-19,-57.63266740973489
2024-04-26,-56.28106709118748
2024-05-03,-54.9335006219693
2024-05-10,-53.543189687031514
2024-05-17,-52.16115536025856
2024-05-24,-50.784299268665364
2024-05-31,-49.406957192918014
2024-06-07,-47.98751143061574
2024-06-14,-46.56261601813185
2024-06-21,-45.123227346022304
2024-06-28,-43.686119362939166
2024-07-05,-42.31171761031291
2024-07-12,-40.883195835367474
2024-07-19,-39.52907204954195
2024-07-26,-38.18003052380189
2024-08-02,-36.847060756891665
2024-08-09,-35.54042949831515
2024-08-16,-34.37224864693488
2024-08-23,-33.22730709725249
2024-08-30,-32.11364183965864
2024-09-06,-31.15358359360863
2024-09-13,-30.28240845121323
2024-09-20,-29.47024216044622
2024-09-27,-28.779816966597167
2024-10-04,-28.20635791297306
2024-10-11,-27.63892433084223
2024-10-18,-27.084045960742856
2024-10-25,-26.493216790680336
2024-11-01,-25.77704721017149
2024-11-08,-24.888321563362325
2024-11-15,-23.85744038137446
2024-11-22,-22.862878833137856
2024-11-29,-21.79481980621712
2024-12-06,-20.66202250497038
2024-12-13,-19.963387460681034
2024-12-20,-19.349823501004508
2024-12-27,-18.67648382269168
2025-01-03,-18.23186416733057
2025-01-10,-16.74775219616572
2025-01-17,-15.974457972506343
2025-01-24,-15.381965301572862
2025-01-31,-15.330140488805895
2025-02-07,-15.325236473263061
2025-02-14,-15.16858168009982
2025-02-21,-15.184598866127175
2025-02-28,-15.583087851728266
2025-03-07,-15.914507562755773
2025-03-14,-16.20166521152673
2025-03-21,-16.3503686569628
2025-03-28,-16.35760467411636
2025-04-04,-16.288485211052162
2025-04-11,-16.131284471787595
2025-04-18,-16.026713560830075
2025-04-25,-15.852787231563696
2025-05-02,-15.589327247732868
2025-05-09,-15.262351148633314
2025-05-16,-14.873322580495937
2025-05-23,-14.411032954945995
2025-05-30,-13.92610982833132
